Zini,Mini,logD,aov,fov
0.014,7.00,1.0,0.000,0.005
0.014,7.00,1.0,0.000,0.010
0.014,7.00,1.0,0.000,0.015
0.014,7.00,1.0,0.000,0.020
0.014,7.00,1.0,0.000,0.025
0.014,7.00,1.0,0.000,0.030
0.014,7.00,1.0,0.000,0.035
0.014,7.00,2.0,0.000,0.005
0.014,7.00,2.0,0.000,0.010
0.014,7.00,2.0,0.000,0.015
0.014,7.00,2.0,0.000,0.020
0.014,7.00,2.0,0.000,0.025
0.014,7.00,2.0,0.000,0.030
0.014,7.00,2.0,0.000,0.035
0.014,7.00,3.0,0.000,0.005
0.014,7.00,3.0,0.000,0.010
0.014,7.00,3.0,0.000,0.015
0.014,7.00,3.0,0.000,0.020
0.014,7.00,3.0,0.000,0.025
0.014,7.00,3.0,0.000,0.030
0.014,7.00,3.0,0.000,0.035
0.014,7.00,4.0,0.000,0.005
0.014,7.00,4.0,0.000,0.010
0.014,7.00,4.0,0.000,0.015
0.014,7.00,4.0,0.000,0.020
0.014,7.00,4.0,0.000,0.025
0.014,7.00,4.0,0.000,0.030
0.014,7.00,4.0,0.000,0.035
0.014,7.00,5.0,0.000,0.005
0.014,7.00,5.0,0.000,0.010
0.014,7.00,5.0,0.000,0.015
0.014,7.00,5.0,0.000,0.020
0.014,7.00,5.0,0.000,0.025
0.014,7.00,5.0,0.000,0.030
0.014,7.00,5.0,0.000,0.035
0.014,7.24,1.0,0.000,0.005
0.014,7.24,1.0,0.000,0.010
0.014,7.24,1.0,0.000,0.015
0.014,7.24,1.0,0.000,0.020
0.014,7.24,1.0,0.000,0.025
0.014,7.24,1.0,0.000,0.030
0.014,7.24,1.0,0.000,0.035
0.014,7.24,2.0,0.000,0.005
0.014,7.24,2.0,0.000,0.010
0.014,7.24,2.0,0.000,0.015
0.014,7.24,2.0,0.000,0.020
0.014,7.24,2.0,0.000,0.025
0.014,7.24,2.0,0.000,0.030
0.014,7.24,2.0,0.000,0.035
0.014,7.24,3.0,0.000,0.005
0.014,7.24,3.0,0.000,0.010
0.014,7.24,3.0,0.000,0.015
0.014,7.24,3.0,0.000,0.020
0.014,7.24,3.0,0.000,0.025
0.014,7.24,3.0,0.000,0.030
0.014,7.24,3.0,0.000,0.035
0.014,7.24,4.0,0.000,0.005
0.014,7.24,4.0,0.000,0.010
0.014,7.24,4.0,0.000,0.015
0.014,7.24,4.0,0.000,0.020
0.014,7.24,4.0,0.000,0.025
0.014,7.24,4.0,0.000,0.030
0.014,7.24,4.0,0.000,0.035
0.014,7.24,5.0,0.000,0.005
0.014,7.24,5.0,0.000,0.010
0.014,7.24,5.0,0.000,0.015
0.014,7.24,5.0,0.000,0.020
0.014,7.24,5.0,0.000,0.025
0.014,7.24,5.0,0.000,0.030
0.014,7.24,5.0,0.000,0.035
0.014,7.50,1.0,0.000,0.005
0.014,7.50,1.0,0.000,0.010
0.014,7.50,1.0,0.000,0.015
0.014,7.50,1.0,0.000,0.020
0.014,7.50,1.0,0.000,0.025
0.014,7.50,1.0,0.000,0.030
0.014,7.50,1.0,0.000,0.035
0.014,7.50,2.0,0.000,0.005
0.014,7.50,2.0,0.000,0.010
0.014,7.50,2.0,0.000,0.015
0.014,7.50,2.0,0.000,0.020
0.014,7.50,2.0,0.000,0.025
0.014,7.50,2.0,0.000,0.030
0.014,7.50,2.0,0.000,0.035
0.014,7.50,3.0,0.000,0.005
0.014,7.50,3.0,0.000,0.010
0.014,7.50,3.0,0.000,0.015
0.014,7.50,3.0,0.000,0.020
0.014,7.50,3.0,0.000,0.025
0.014,7.50,3.0,0.000,0.030
0.014,7.50,3.0,0.000,0.035
0.014,7.50,4.0,0.000,0.005
0.014,7.50,4.0,0.000,0.010
0.014,7.50,4.0,0.000,0.015
0.014,7.50,4.0,0.000,0.020
0.014,7.50,4.0,0.000,0.025
0.014,7.50,4.0,0.000,0.030
0.014,7.50,4.0,0.000,0.035
0.014,7.50,5.0,0.000,0.005
0.014,7.50,5.0,0.000,0.010
0.014,7.50,5.0,0.000,0.015
0.014,7.50,5.0,0.000,0.020
0.014,7.50,5.0,0.000,0.025
0.014,7.50,5.0,0.000,0.030
0.014,7.50,5.0,0.000,0.035
0.014,7.76,1.0,0.000,0.005
0.014,7.76,1.0,0.000,0.010
0.014,7.76,1.0,0.000,0.015
0.014,7.76,1.0,0.000,0.020
0.014,7.76,1.0,0.000,0.025
0.014,7.76,1.0,0.000,0.030
0.014,7.76,1.0,0.000,0.035
0.014,7.76,2.0,0.000,0.005
0.014,7.76,2.0,0.000,0.010
0.014,7.76,2.0,0.000,0.015
0.014,7.76,2.0,0.000,0.020
0.014,7.76,2.0,0.000,0.025
0.014,7.76,2.0,0.000,0.030
0.014,7.76,2.0,0.000,0.035
0.014,7.76,3.0,0.000,0.005
0.014,7.76,3.0,0.000,0.010
0.014,7.76,3.0,0.000,0.015
0.014,7.76,3.0,0.000,0.020
0.014,7.76,3.0,0.000,0.025
0.014,7.76,3.0,0.000,0.030
0.014,7.76,3.0,0.000,0.035
0.014,7.76,4.0,0.000,0.005
0.014,7.76,4.0,0.000,0.010
0.014,7.76,4.0,0.000,0.015
0.014,7.76,4.0,0.000,0.020
0.014,7.76,4.0,0.000,0.025
0.014,7.76,4.0,0.000,0.030
0.014,7.76,4.0,0.000,0.035
0.014,7.76,5.0,0.000,0.005
0.014,7.76,5.0,0.000,0.010
0.014,7.76,5.0,0.000,0.015
0.014,7.76,5.0,0.000,0.020
0.014,7.76,5.0,0.000,0.025
0.014,7.76,5.0,0.000,0.030
0.014,7.76,5.0,0.000,0.035
0.014,8.04,1.0,0.000,0.005
0.014,8.04,1.0,0.000,0.010
0.014,8.04,1.0,0.000,0.015
0.014,8.04,1.0,0.000,0.020
0.014,8.04,1.0,0.000,0.025
0.014,8.04,1.0,0.000,0.030
0.014,8.04,1.0,0.000,0.035
0.014,8.04,2.0,0.000,0.005
0.014,8.04,2.0,0.000,0.010
0.014,8.04,2.0,0.000,0.015
0.014,8.04,2.0,0.000,0.020
0.014,8.04,2.0,0.000,0.025
0.014,8.04,2.0,0.000,0.030
0.014,8.04,2.0,0.000,0.035
0.014,8.04,3.0,0.000,0.005
0.014,8.04,3.0,0.000,0.010
0.014,8.04,3.0,0.000,0.015
0.014,8.04,3.0,0.000,0.020
0.014,8.04,3.0,0.000,0.025
0.014,8.04,3.0,0.000,0.030
0.014,8.04,3.0,0.000,0.035
0.014,8.04,4.0,0.000,0.005
0.014,8.04,4.0,0.000,0.010
0.014,8.04,4.0,0.000,0.015
0.014,8.04,4.0,0.000,0.020
0.014,8.04,4.0,0.000,0.025
0.014,8.04,4.0,0.000,0.030
0.014,8.04,4.0,0.000,0.035
0.014,8.04,5.0,0.000,0.005
0.014,8.04,5.0,0.000,0.010
0.014,8.04,5.0,0.000,0.015
0.014,8.04,5.0,0.000,0.020
0.014,8.04,5.0,0.000,0.025
0.014,8.04,5.0,0.000,0.030
0.014,8.04,5.0,0.000,0.035
0.014,8.32,1.0,0.000,0.005
0.014,8.32,1.0,0.000,0.010
0.014,8.32,1.0,0.000,0.015
0.014,8.32,1.0,0.000,0.020
0.014,8.32,1.0,0.000,0.025
0.014,8.32,1.0,0.000,0.030
0.014,8.32,1.0,0.000,0.035
0.014,8.32,2.0,0.000,0.005
0.014,8.32,2.0,0.000,0.010
0.014,8.32,2.0,0.000,0.015
0.014,8.32,2.0,0.000,0.020
0.014,8.32,2.0,0.000,0.025
