#c12_p_to_gamma_n13
#T8      Rate
51
0.1      1.54E-19
0.11      8.63E-19
0.12      5.00E-18
0.13      2.38E-17
0.14      9.70E-17
0.15      3.46E-16
0.16      1.10E-15
0.18      8.49E-15
0.20      4.89E-14
0.25      1.61E-12
0.30      2.28E-11
0.40      1.08E-09
0.50      1.67E-08
0.60      1.35E-07
0.70      7.24E-07
0.80      2.89E-06
0.90      9.36E-06
1.00      2.58E-05
1.10      6.28E-05
1.20      0.000138059300104003
1.30      0.000279876298061466
1.40      5.30E-04
1.50      9.49E-04
1.60      1.62E-03
1.80      4.19E-03
2.00      9.66E-03
2.50      5.77E-02
3.00      2.77E-01
3.50      1.12E+00
4.00      3.64E+00
4.50      9.69E+00
5.00      2.18E+01
6.00      7.47E+01
7.00      1.79E+02
8.00      3.40E+02
9.00      5.51E+02
10.0      8.00E+02
12.5      1.50E+03
15.0      2.17E+03
17.5      2.75E+03
20.0      3.20E+03
25.0      3.79E+03
30.0      4.07E+03
35.0      4.16E+03
40.0      4.15E+03
50.0      3.99E+03
60.0      3779.84576025555
70.0      3557.54990554388
80.0      3337.54285180657
90.0      3130.24103579231
100       2950.75111345234
