#h2_h2_to_n_he3
#T8      Rate
60
0.01      1.33E-08
0.02      5.55E-05
0.03      3.06E-03
0.04      3.79E-02
0.05      2.25E-01
0.06      8.69E-01
0.07      2.54E+00
0.08      6.15E+00
0.09      1.29E+01
0.1       2.45E+01
0.11      4.26E+01
0.12      6.96E+01
0.13      1.08E+02
0.14      1.60E+02
0.15      2.29E+02
0.16      3.17E+02
0.18      5.63E+02
0.2       9.25E+02
0.25      2.49E+03
0.3       5.30E+03
0.4       1.58E+04
0.5       3.40E+04
0.6       6.07E+04
0.7       9.62E+04
0.8       1.40E+05
0.9       1.93E+05
1         2.53E+05
1.1       3.21E+05
1.2       3.96E+05
1.3       4.77E+05
1.4       5.65E+05
1.5       6.58E+05
1.6       7.57E+05
1.8       9.68E+05
2         1.20E+06
2.5       1.83E+06
3         2.52E+06
3.5       3.26E+06
4         4.02E+06
4.5       4.80E+06
5         5.60E+06
6         7.19E+06
7         8.78E+06
8         1.03E+07
9         1.19E+07
10        1.34E+07
12.5      1.70E+07
15        2.05E+07
17.5      2.37E+07
20        2.68E+07
25        3.24E+07
30        3.76E+07
35        4.22E+07
40        4.64E+07
50        5.39E+07
60        6.04E+07
70        6.59E+07
80        7.08E+07
90        7.50E+07
100       7.88E+07
