#he4_h2_to_gamma_li6
#T8      Rate
92
0.01      6.47E-30
0.02      1.86E-23
0.03      2.47E-20
0.04      2.29E-18
0.05      5.69E-17
0.06      6.59E-16
0.07      4.65E-15
0.08      2.33E-14
0.09      9.07E-14
0.1       2.92E-13
0.11      8.13E-13
0.12      2.01E-12
0.13      4.51E-12
0.14      9.34E-12
0.15      1.81E-11
0.16      3.32E-11
0.17      5.79E-11
0.18      9.68E-11
0.19      1.56E-10
0.2       2.43E-10
0.25      1.54E-09
0.3       6.28E-09
0.35      1.93E-08
0.4       4.87E-08
0.45      1.07E-07
0.5       2.09E-07
0.6       6.38E-07
0.7       1.55E-06
0.8       3.25E-06
0.9       6.06E-06
1         1.04E-05
1.1       1.67E-05
1.2       2.53E-05
1.3       3.69E-05
1.4       5.19E-05
1.5       7.07E-05
1.6       9.40E-05
1.7       1.22E-04
1.8       1.56E-04
1.9       1.95E-04
2         2.42E-04
2.1       2.95E-04
2.2       3.55E-04
2.3       4.24E-04
2.4       5.01E-04
2.5       5.87E-04
2.6       6.82E-04
2.7       7.88E-04
2.8       9.03E-04
2.9       1.03E-03
3         1.17E-03
3.1       1.32E-03
3.2       1.48E-03
3.3       1.65E-03
3.4       1.84E-03
3.5       2.04E-03
3.6       2.25E-03
3.7       2.48E-03
3.8       2.73E-03
3.9       2.98E-03
4         3.26E-03
5         6.93E-03
6         1.27E-02
7         2.15E-02
8         3.46E-02
9         5.39E-02
10        8.08E-02
11        1.17E-01
12        1.62E-01
13        2.16E-01
14        2.80E-01
15        3.51E-01
16        4.29E-01
17        5.13E-01
18        6.00E-01
19        6.92E-01
20        7.85E-01
21        8.81E-01
22        9.77E-01
23        1.07E+00
24        1.17E+00
25        1.27E+00
30        1.75E+00
35        2.21E+00
40        2.67E+00
45        3.15E+00
50        3.63E+00
60        4.65E+00
70        5.69E+00
80        6.73E+00
90        7.72E+00
100       8.66E+00
