#h2_p_to_gamma_he3
#T8      Rate
60
0.01      1.44E-11
0.02      1.99E-08
0.03      6.45E-07
0.04      5.71E-06
0.05      2.67E-05
0.06      8.64E-05
0.07      2.20E-04
0.08      4.74E-04
0.09      9.05E-04
0.10      1.58E-03
0.11      2.57E-03
0.12      3.94E-03
0.13      5.78E-03
0.14      8.15E-03
0.15      1.12E-02
0.16      1.48E-02
0.18      2.46E-02
0.20      3.79E-02
0.25      9.02E-02
0.30      1.74E-01
0.40      4.55E-01
0.50      8.98E-01
0.60      1.51E+00
0.70      2.29E+00
0.80      3.22E+00
0.90      4.31E+00
1.00      5.54E+00
1.10      6.91E+00
1.20      8.40E+00
1.30      1.00E+01
1.40      1.18E+01
1.50      1.36E+01
1.60      1.55E+01
1.80      1.97E+01
2.00      2.42E+01
2.50      3.68E+01
3.00      5.10E+01
3.50      6.65E+01
4.00      8.30E+01
4.50      1.01E+02
5.00      1.19E+02
6.00      1.58E+02
7.00      1.98E+02
8.00      2.41E+02
9.00      2.85E+02
10.0      3.30E+02
12.5      4.48E+02
15.0      5.70E+02
17.5      6.95E+02
20.0      8.22E+02
25.0      1.08E+03
30.0      1.35E+03
35.0      1.61E+03
40.0      1.87E+03
50.0      2.40E+03
60.0      2.92E+03
70.0      3.44E+03
80.0      3.94E+03
90.0      4.43E+03
100       4.91E+03
