#he3_alpha_to_gamma_be7
#T8      Rate
60
0.01 1.1770380385688176e-47
0.02 2.300271024288512e-36
0.03 6.814211966850389e-31
0.04 1.9119331100141047e-27
0.05 5.3944407637008505e-25
0.06 3.977544985710634e-23
0.07 1.2303266537515955e-21
0.08 2.083173646011708e-20
0.09 2.27297970036907e-19
0.10 1.77803823106454e-18
0.11 1.0728469652730518e-17
0.12 5.2607350806230324e-17
0.13 2.1784234561977057e-16
0.14 7.841860054102471e-16
0.15 2.5095652451289972e-15
0.16 7.266527098404804e-15
0.18 4.7612638601561355e-14
0.20 2.3997235552209533e-13
0.25 6.098002791706066e-12
0.30 7.150974564135536e-11
0.40 2.55760441063856e-09
0.50 3.224386588461828e-08
0.60 2.2131232741937261e-07
0.70 1.0254701566180633e-06
0.80 3.6195062451156098e-06
0.90 1.0478733967026178e-05
1.00 2.611388151301757e-05
1.10 5.790430845640858e-05
1.20 0.00011696824189815976
1.30 0.00021901391434567084
1.40 0.0003851265304758246
1.50 0.000642458820676591
1.60 0.0010248051175369597
1.80 0.0023354844996530434
2.00 0.004734213939180782
2.50 0.019323958263147038
3.00 0.0559554166949139
3.50 0.12987570653230424
4.00 0.2587459548978161
4.50 0.4613676248127996
5.00 0.7566357490602504
6.00 1.6967894546360278
7.00 3.2088920849299396
8.00 5.396849302007438
9.00 8.33794035345287
10.0 12.085441268401885
12.5 25.16047882542026
15.0 43.58073551388015
17.5 67.14368320740526
20.0 95.48860370195027
25.0 164.8486641859649
30.0 248.38617132171697
35.0 343.2321554227073
40.0 447.0172841403813
50.0 674.0603032629231
60.0 918.0339237391615
70.0 1171.2764037169547
80.0 1428.6025403334124
90.0 1686.4684662992458
100  1942.442229284707
