#he4_alpha_alpha_to_gamma_c12
#T8      Rate
60
0.01      0
0.02      0
0.03      0
0.04      0
0.05      0
0.06      0
0.07      0
0.08      0
0.09      0
0.10      6.042527646659971e-71
0.11      1.2597228676828557e-68
0.12      1.4178751095807907e-66
0.13      9.650266628374704e-65
0.14      4.327126942312857e-63
0.15      1.3657799274820542e-61
0.16      3.1968839080321936e-60
0.18      8.374743160107098e-58
0.20      9.987672490888637e-56
0.25      1.4590894450982867e-51
0.30      1.1261319755381087e-47
0.40      4.2902354441527777e-41
0.50      8.961985517529306e-37
0.60      1.0741652594404825e-33
0.70      2.6843406518874424e-31
0.80      8.329734677763137e-29
0.90      2.1596085158760057e-26
1.00      2.0403192412842946e-24
1.10      8.338375159136947e-23
1.20      1.803050906421714e-21
1.30      2.388897719279723e-20
1.40      2.155403550709112e-19
1.50      1.4311461889538403e-18
1.60      7.41164110369953e-18
1.80      1.1154640988940438e-16
2.00      9.446610304730567e-16
2.50      3.997533625148912e-14
3.00      4.3837996553726577e-13
3.50      2.2536781441856153e-12
4.00      7.281859177202227e-12
4.50      1.737071288559466e-11
5.00      3.3655376721123104e-11
6.00      8.428240445386338e-11
7.00      1.5101771532058744e-10
8.00      2.216187940995397e-10
9.00      2.8650008253159085e-10
10.0      3.4041066123320124e-10
12.5      4.206790801581469e-10
15.0      4.391062952469632e-10
17.5      4.2220235832977306e-10
20.0      3.890146625767529e-10
25.0      3.1184045601054426e-10
30.0      2.435810004789969e-10
35.0      1.9005316609501975e-10
40.0      1.494957015208993e-10
50.0      9.588012763337146e-11
60.0      6.47306129844688e-11
70.0      4.5907110858446164e-11
80.0      3.408715364137501e-11
90.0      2.6419559004717846e-11
100       2.1320831532049215e-11
