#Table for li6_p_to_alpha_he3
#T8	Rate
60
0.01 1.284051731910762e-24
0.02 2.6747016991318216e-17
0.03 9.261808766195989e-14
0.04 1.5623278275688666e-11
0.05 5.950596932809994e-10
0.06 9.508242766094118e-09
0.07 8.662031326207046e-08
0.08 5.345389870069911e-07
0.09 2.483476048105101e-06
0.10 9.307429140119905e-06
0.11 2.9501348016125355e-05
0.12 8.179892875204287e-05
0.13 0.00020338738974683875
0.14 0.0004620693649152519
0.15 0.0009731403884367133
0.16 0.0019216108964935398
0.18 0.006393538275922954
0.20 0.017968738587891015
0.25 0.14153047074560304
0.30 0.6785771305550883
0.40 6.580733012943279
0.50 32.753772934496965
0.60 110.57864802968521
0.70 290.6234947923655
0.80 642.3676030924556
0.90 1251.8400652657263
1.00 2218.2223987289162
1.10 3650.168274393298
1.20 5662.292685193859
1.30 8372.061661313295
1.40 11897.172202401402
1.50 16353.429913685048
1.60 21853.088601006093
1.80 36406.68955116068
2.00 56345.515786747026
2.50 133953.4563909884
3.00 256883.5869240767
3.50 429137.0355461259
4.00 651916.8432159486
4.50 924495.2992439573
5.00 1244895.037396676
6.00 2017820.069330111
7.00 2945249.771277064
8.00 4000989.3986463314
9.00 5160934.766133805
10.0 6404065.621491869
12.5 9766400.638814278
15.0 13342712.147910561
17.5 17013100.184826273
20.0 20711528.43994067
25.0 28084355.550593473
30.0 35410086.43998772
35.0 42783237.90325556
40.0 50356542.6110797
50.0 66838835.6465329
60.0 86514049.31842066
70.0 111447493.29673916
80.0 144411171.40526593
90.0 189358166.37927067
100  252153078.3876487
