#li7_p_to_alpha_alpha
#T8      Rate
60
0.01      1.26E-26
0.02      3.10E-19
0.03      1.17E-15
0.04      2.08E-13
0.05      8.26E-12
0.06      1.36E-10
0.07      1.27E-09
0.08      8.02E-09
0.09      3.80E-08
0.10      1.45E-07
0.11      4.65E-07
0.12      1.31E-06
0.13      3.29E-06
0.14      7.55E-06
0.15      1.61E-05
0.16      3.20E-05
0.18      1.08E-04
0.20      3.09E-04
0.25      2.51E-03
0.30      1.23E-02
0.40      1.24E-01
0.50      6.39E-01
0.60      2.21E+00
0.70      5.95E+00
0.80      1.34E+01
0.90      2.66E+01
1.00      4.79E+01
1.10      7.99E+01
1.20      1.26E+02
1.30      1.88E+02
1.40      2.71E+02
1.50      3.76E+02
1.60      5.08E+02
1.80      8.64E+02
2.00      1.36E+03
2.50      3.37E+03
3.00      6.70E+03
3.50      1.16E+04
4.00      1.81E+04
4.50      2.63E+04
5.00      3.63E+04
6.00      6.14E+04
7.00      9.33E+04
8.00      1.31E+05
9.00      1.75E+05
10.0      2.24E+05
12.5      3.67E+05
15.0      5.34E+05
17.5      7.21E+05
20.0      9.26E+05
25.0      1.39E+06
30.0      1.93E+06
35.0      2.58E+06
40.0      3.39E+06
50.0      5.38E+06
60.0      7.67E+06
70.0      1.01E+07
80.0      1.24E+07
90.0      1.45E+07
100       1.65E+07
