#n14_alpha_to_gamma_f18
#T8      Rate
51
0.1       4.78E-63
0.11      8.38E-61
0.12      8.15E-59
0.13      4.88E-57
0.14      1.95E-55
0.15      5.63E-54
0.16      1.18E-52
0.18      2.71E-50
0.2       2.86E-48
0.25      3.50E-44
0.3       4.41E-41
0.4       1.44E-36
0.5       2.52E-33
0.6       1.04E-30
0.7       1.78E-28
0.8       1.85E-26
0.9       6.06E-24
1.0       1.42E-21
1.1       1.34E-19
1.2       5.90E-18
1.3       1.44E-16
1.4       2.20E-15
1.5       2.33E-14
1.6       1.82E-13
1.8       5.53E-12
2.0       8.33E-11
2.5       1.05E-08
3.0       2.50E-07
3.5       2.33E-06
4.0       1.21E-05
4.5       4.28E-05
5.0       1.17E-04
6.0       5.46E-04
7.0       1.97E-03
8.0       6.92E-03
9.0       2.36E-02
10.0      7.23E-02
12.5      6.44E-01
15.0      2.89E+00
17.5      8.42E+00
20.0      1.86E+01
25.0      5.51E+01
30.0      1.11E+02
35.0      1.81E+02
40.0      2.59E+02
50.0      4.13E+02
60.0      5.48E+02
70.0      6.54E+02
80.0      7.31E+02
90.0      7.84E+02
100       8.18E+02
