#n14_p_to_gamma_o15
#T8      Rate
60
0.01      2.56E-57
0.02      6.64E-44
0.03      2.13E-37
0.04      2.70E-33
0.05      2.23E-30
0.06      3.75E-28
0.07      2.24E-26
0.08      6.55E-25
0.09      1.14E-23
0.10      1.32E-22
0.11      1.13E-21
0.12      7.60E-21
0.13      4.16E-20
0.14      1.93E-19
0.15      7.77E-19
0.16      2.78E-18
0.18      2.65E-17
0.20      1.85E-16
0.25      9.08E-15
0.30      1.78E-13
0.40      1.36E-11
0.50      3.01E-10
0.60      3.21E-09
0.70      2.14E-08
0.80      1.03E-07
0.90      3.90E-07
1.00      1.24E-06
1.10      3.46E-06
1.20      8.99E-06
1.30      2.28E-05
1.40      5.83E-05
1.50      1.50E-04
1.60      3.75E-04
1.80      2.01E-03
2.00      8.28E-03
2.50      1.11E-01
3.00      6.12E-01
3.50      2.02E+00
4.00      4.82E+00
4.50      9.30E+00
5.00      1.55E+01
6.00      3.23E+01
7.00      5.27E+01
8.00      7.41E+01
9.00      9.48E+01
10.0      1.14E+02
12.5      1.55E+02
15.0      1.89E+02
17.5      217.806163739562
20.0      243.141434930304
25.0      287.610076443501
30.0      327.233241611297
35.0      363.565167922594
40.0      397.131731838982
50.0      456.924670712207
60.0      508.182168691761
70.0      552.31858541379
80.0      590.590593503418
90.0      624.044885653408
100       653.526131827466
