#ne20_alpha_to_gamma_mg24
#T8      Rate
51
0.10      1.96E-81
0.11      1.59E-78
0.12      5.99E-76
0.13      1.20E-73
0.14      1.46E-71
0.15      1.15E-69
0.16      6.24E-68
0.18      7.16E-65
0.20      3.09E-62
0.25      6.44E-57
0.30      1.64E-51
0.40      1.20E-42
0.50      2.37E-37
0.60      7.65E-34
0.70      2.37E-31
0.80      1.70E-29
0.90      4.64E-28
1.00      6.42E-27
1.10      5.43E-26
1.20      3.19E-25
1.30      1.41E-24
1.40      5.00E-24
1.50      1.51E-23
1.60      4.95E-23
1.80      5.75E-21
2.00      7.68E-19
2.50      5.54E-15
3.00      1.97E-12
3.50      1.26E-10
4.00      2.78E-09
4.50      3.03E-08
5.00      2.02E-07
6.00      3.40E-06
7.00      2.58E-05
8.00      1.26E-04
9.00      4.82E-04
10.0      1.60E-03
12.5      2.08E-02
15.0      1.48E-01
17.5      6.46E-01
20.0      1.99E+00
25.0      9.69E+00
30.0      2.77E+01
35.0      5.78E+01
40.0      9.96E+01
50.0      2.10E+02
60.0      3.42E+02
70.0      4.83E+02
80.0      6.27E+02
90.0      7.76E+02
100       9.93E+02
