#o16_alpha_to_gamma_ne20
#T8      Rate
34
1.00      7.13E-27
1.10      9.74E-26
1.20      9.85E-25
1.30      7.80E-24
1.40      5.03E-23
1.50      2.74E-22
1.60      1.29E-21
1.80      2.01E-20
2.00      2.30E-19
2.50      4.21E-16
3.00      3.02E-13
3.50      3.38E-11
4.00      1.16E-09
4.50      1.81E-08
5.00      1.63E-07
6.00      4.51E-06
7.00      4.88E-05
8.00      2.93E-04
9.00      1.18E-03
10        3.56E-03
12.5      2.55E-02
15        9.21E-02
17.5      2.25E-01
20        4.32E-01
25        1.05E+00
30        1.90E+00
35        2.97E+00
40        4.29E+00
50        8.19E+00
60        1.53E+01
70        2.81E+01
80        4.91E+01
90        8.01E+01
100       1.21E+02
