#o17_p_to_gamma_f18
#T8      Rate
51
0.10      3.58E-25
0.11      3.78E-24
0.12      3.09E-23
0.13      1.99E-22
0.14      1.08E-21
0.15      4.98E-21
0.16      2.02E-20
0.18      2.42E-19
0.20      2.06E-18
0.25      1.97E-16
0.30      9.69E-15
0.40      2.47E-12
0.50      7.62E-11
0.60      7.66E-10
0.70      4.13E-09
0.80      1.58E-08
0.90      4.93E-08
1.00      1.39E-07
1.10      3.64E-07
1.20      9.02E-07
1.30      2.11E-06
1.40      4.65E-06
1.50      9.65E-06
1.60      1.87E-05
1.80      5.99E-05
2.00      1.60E-04
2.50      1.05E-03
3.00      4.61E-03
3.50      1.87E-02
4.00      7.71E-02
4.50      2.85E-01
5.00      8.86E-01
6.00      5.20E+00
7.00      1.87E+01
8.00      4.88E+01
9.00      1.02E+02
10.0      1.82E+02
12.5      5.02E+02
15.0      9.59E+02
17.5      1.48E+03
20.0      2.02E+03
25.0      2.99E+03
30.0      3.74E+03
35.0      4.25E+03
40.0      4.56E+03
50.0      4.78E+03
60.0      4.66E+03
70.0      4.44E+03
80.0      4.18E+03
90.0      3.93E+03
100       3.68E+03
