#o18_p_to_alpha_n15
#T8      Rate
51
0.10      1.93E-20
0.11      1.52E-19
0.12      9.00E-19
0.13      4.35E-18
0.14      1.80E-17
0.15      6.60E-17
0.16      2.24E-16
0.18      2.01E-15
0.20      1.52E-14
0.25      9.17E-13
0.30      2.34E-11
0.40      2.58E-09
0.50      9.04E-08
0.60      2.93E-06
0.70      8.54E-05
0.80      1.25E-03
0.90      1.03E-02
1.00      5.49E-02
1.10      2.14E-01
1.20      6.58E-01
1.30      1.69E+00
1.40      3.76E+00
1.50      7.47E+00
1.60      1.35E+01
1.80      3.59E+01
2.00      7.72E+01
2.50      2.95E+02
3.00      6.96E+02
3.50      1.29E+03
4.00      2.10E+03
4.50      3.36E+03
5.00      5.55E+03
6.00      1.69E+04
7.00      5.33E+04
8.00      1.42E+05
9.00      3.17E+05
10.0      6.17E+05
12.5      2.07E+06
15.0      4.64E+06
17.5      8.11E+06
20.0      1.21E+07
25.0      2.04E+07
30.0      2.71E+07
35.0      3.32E+07
40.0      3.87E+07
50.0      4.51E+07
60.0      5.24E+07
70.0      5.41E+07
80.0      6.17E+07
90.0      6.66E+07
100       7.68E+07
