chi2,chi2_reduced,spectro_compatible,Z,M,logD,fov,Xc,age,log_age,frot,frot_rel,fK,log_Teff,log_L,R,log_R,log_g,Mcc,Mcc_over_M,Pi0
nan,nan,False,0.014,7.0,1.0,0.005,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,False,0.014,7.0,1.0,0.01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,False,0.014,7.0,1.0,0.015,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
15157.995403493893,3789.498850873473,False,0.014,7.0,1.0,0.02,0.08159037954054334,46871593.808026634,7.670909721394387,0.01570385935037243,0.0022319626738900597,7.035896941324009,4.223201532103431,3.5934872687589277,7.464379835583302,0.8729937309930875,3.5365761532044213,0.9670951287843843,0.13815644696919777,11762.218326955031
14813.338815081806,3703.3347037704516,False,0.014,7.0,1.0,0.025,0.11236966871996325,47886312.57698888,7.680211396050281,0.015840299626952735,0.002240764667733498,7.06914914138439,4.227978199687251,3.6098637064875154,7.440953909530089,0.8716286144557441,3.5392646761359616,1.0598341782422998,0.15140488260604282,12418.334945266106
15570.944203949344,3892.736050987336,False,0.014,7.0,1.0,0.03,0.1368888826668609,48918879.07579988,7.68947649708109,0.015992458217376306,0.002253731398110948,7.095991221838149,4.232708629179637,3.626590857482189,7.422177409769445,0.8705313309293732,3.5414147602310417,1.1411169087538708,0.16301670125055298,12925.321767408243
15534.762520795064,3883.690630198766,False,0.014,7.0,1.0,0.035,0.1570913535408154,49913832.20624903,7.698220914729599,0.016186795032104666,0.002272763584236256,7.122076024261939,4.237237736309804,3.642582571940981,7.404043707867142,0.8694689738341739,3.5434940855479407,1.2178192272825277,0.17397417532607537,13348.942916837039
nan,nan,False,0.014,7.0,2.0,0.005,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,False,0.014,7.0,2.0,0.01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,False,0.014,7.0,2.0,0.015,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
15310.178739648147,3827.5446849120367,False,0.014,7.0,2.0,0.02,0.08144834327577388,46875861.85164541,7.6709492656738645,0.015702373344262034,0.0022317901581880156,7.035774974924501,4.223193822550766,3.593466468490043,7.464466099560952,0.8729987499971879,3.5365659907515625,0.9693536804758147,0.13847909721083068,11748.637608408446
14847.657688232088,3711.914422058022,False,0.014,7.0,2.0,0.025,0.11228100583519857,47887997.82925046,7.680226679809669,0.015840679971020746,0.0022408659823411584,7.068999260041021,4.227975072145935,3.6098634737189044,7.441059087664064,0.8716347531794788,3.539252345348775,1.0579445588980607,0.15113493698543726,12402.476535405312
15547.237424276733,3886.809356069183,False,0.014,7.0,2.0,0.03,0.13688858951270796,48919900.19989385,7.6894855623732505,0.015992484837668255,0.002253769861456088,7.095881931501217,4.232712900722561,3.6266168622577504,7.422253620187023,0.8705357902129592,3.5414058819363192,1.1432792052395757,0.16332560074851082,12917.876778653766
15409.784063444558,3852.4460158611396,False,0.014,7.0,2.0,0.035,0.15722603195787754,49908241.908369265,7.69817227147017,0.01619298662194053,0.0022735656753241577,7.12228672243294,4.2372675987601705,3.64268489118639,7.4038976849001,0.8694604085694774,3.5435118600453186,1.2175136683860508,0.1739305240551501,13341.585109371075
nan,nan,False,0.014,7.0,3.0,0.005,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,False,0.014,7.0,3.0,0.01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,False,0.014,7.0,3.0,0.015,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
16696.68221880218,4174.170554700545,False,0.014,7.0,3.0,0.02,0.08075710892358631,46905445.68992826,7.671223266932382,0.0156847584381728,0.0022293604413224587,7.035541739885089,4.223255199146812,3.5937311707537063,7.464631068181733,0.8730083480272482,3.5365460839471092,0.9656879898785938,0.1379554271255134,11687.65686397971
15190.931386297592,3797.732846574398,False,0.014,7.0,3.0,0.025,0.11166893049489905,47913946.059084594,7.680461939614435,0.015828887173329285,0.0022395710638927363,7.0678209004076535,4.227999739206378,3.610058675757327,7.441886122394868,0.8716830200534383,3.539155069021968,1.0565739358942883,0.15093913369918405,12346.572076749284
15305.035073702558,3826.2587684256396,False,0.014,7.0,3.0,0.03,0.1364590704510611,48940459.91274579,7.689668046270963,0.01599463445129436,0.002254473241551206,7.094621553498297,4.232738167731194,3.6268207925463476,7.423132649290113,0.8705872213421223,3.5413027074598453,1.1397551743683767,0.16282216776691097,12862.755078293752
14655.639074407907,3663.909768601977,False,0.014,7.0,3.0,0.035,0.15658948114637003,49941057.24141875,7.698457732033232,0.01620122350883558,0.0022754082227000724,7.12013929949268,4.237237046307641,3.64273729842542,7.405386279432086,0.8695477170976638,3.54333580007926,1.2162175915390139,0.1737453702198591,13289.17787459465
nan,nan,False,0.014,7.0,4.0,0.005,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,False,0.014,7.0,4.0,0.01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,False,0.014,7.0,4.0,0.015,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
24540.666686838005,6135.166671709501,False,0.014,7.0,4.0,0.02,0.08569517411686925,47577983.179447554,7.67740602844103,0.015607613385948363,0.0022183389819738714,7.035720650800067,4.225497655037758,3.6026862694337733,7.464504522544045,0.8730009855015582,3.5365366711217883,0.9840798896136433,0.14058284137337762,11729.390477812707
16451.45823201106,4112.864558002765,False,0.014,7.0,4.0,0.025,0.11483258449537742,48560848.82861157,7.686286269466711,0.015810594897072525,0.0022383943067484954,7.06336450615758,4.230034410562579,3.618562584096889,7.4450159332368795,0.8718656315320433,3.5387654577367047,1.0840577158830655,0.15486538798329508,12350.498776908944
13052.993021334529,3263.248255333632,False,0.014,7.0,4.0,0.03,0.13907861130799093,49527934.59148615,7.694850217459068,0.016039705747419232,0.0022626881919864217,7.088783069724654,4.23471511324591,3.635205304834635,7.427207997813035,0.870825586435803,3.5408024577059978,1.156810125639859,0.16525858937712273,12848.63712451489
10064.34986092824,2516.08746523206,False,0.014,7.0,4.0,0.035,0.15792221164825293,50504493.9896907,7.703330024219416,0.01628914150968391,0.002290231917645679,7.1124419252827815,4.2389399945149595,3.6501754339992396,7.410728256514863,0.8698608884442278,3.5426855337192125,1.2273540608354379,0.17533629440506254,13249.852564884006
nan,nan,False,0.014,7.0,5.0,0.005,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
43860.4763076116,10965.1190769029,False,0.014,7.0,5.0,0.01,0.08323566069264625,51764412.56134086,7.714031289866231,0.015481630509957323,0.002202175181321973,7.030153932015367,4.237930809798555,3.652877226528667,7.468444437757988,0.8732301543657705,3.5359212968495703,1.0190961174493987,0.14558515963562838,11731.890754215367
29656.8347232609,7414.208680815225,False,0.014,7.0,5.0,0.015,0.11134754230530185,52594560.57803638,7.720940830977,0.01564302170694222,0.0022176598300946613,7.053841844749695,4.242052434144847,3.6674158792465263,7.451714923223865,0.8722562319409277,3.5378229295831862,1.1101359472699264,0.15859084960998948,12352.815635231214
16655.474300597503,4163.868575149376,False,0.014,7.0,5.0,0.02,0.13322994982337452,53457659.44362672,7.728009939961673,0.015902619424121404,0.002247612263597593,7.075339319721994,4.24615027494252,3.6820451697505376,7.436613241317963,0.8713751955618249,3.5395353020392526,1.190142579669904,0.17002036852427202,12832.695756320283
9911.649519397273,2477.9123798493183,False,0.014,7.0,5.0,0.025,0.15144307068976037,54285351.31445831,7.7346826527641745,0.016167630626063297,0.0022779065180222606,7.097583021141915,4.250266458659113,3.696692293086112,7.421067636817199,0.8704663898374878,3.541302158376674,1.2632639058823834,0.1804662722689119,13241.534931982826
