chi2,chi2_reduced,spectro_compatible,Z,M,logD,fov,Xc,age,log_age,frot,frot_rel,fK,log_Teff,log_L,R,log_R,log_g,Mcc,Mcc_over_M,Pi0
42328.285303792756,8465.65706075855,False,0.014,7.0,1.0,0.005,0.2864993151846581,32969756.25144762,7.518115736374497,0.1026263940175017,0.007490153263142366,13.701507888030392,4.280210279714865,3.4355904070734358,4.786607319698004,0.6800278006001036,3.9228115172595825,1.162824219632451,0.1661177456617787,12709.64381505905
34074.71951312557,6814.943902625115,False,0.014,7.0,1.0,0.01,0.3066387245301825,33902443.80218504,7.530231004738504,0.10180106132529082,0.007436519909767003,13.689341595332378,4.28277388906333,3.4463592514488957,4.789442939057338,0.6802850034850624,3.922279056432201,1.2282330841956235,0.17546186917080336,13008.120574155786
28680.95517104158,5736.191034208316,False,0.014,7.0,1.0,0.015,0.32443371329333504,34804183.54779201,7.541631450340807,0.10146485982774146,0.007418125179367022,13.677965439294368,4.285299879616077,3.4569446253162304,4.792098202396664,0.6805257092815026,3.9217799137960028,1.2975326772505666,0.18536181103579524,13297.20707303365
24270.072661248938,4854.014532249787,False,0.014,7.0,1.0,0.02,0.33963748484519657,35699280.843668625,7.55265946740709,0.10141697414662018,0.007420233295864624,13.667626084363272,4.287716258290717,3.467048025932331,4.7945146649200785,0.6807446513367199,3.9213235830993516,1.3571165476178317,0.1938737925168331,13546.839919857217
20146.39181472413,4029.2783629448263,False,0.014,7.0,1.0,0.025,0.3529078470216761,36578337.900204554,7.5632239674835,0.10155463976536634,0.0074355563827735284,13.657974539826643,4.290073881555863,3.4768875707068587,4.796773126858335,0.6809491781107663,3.920895917846531,1.4150075218080826,0.20214393168686895,13773.625150252605
16239.396745830543,3247.8793491661086,False,0.014,7.0,1.0,0.03,0.364412316887215,37446536.51237807,7.573411655329962,0.10182017437560978,0.007459877894135146,13.649040348992763,4.29236366485096,3.4864256119200303,4.798866100014974,0.6811386322337535,3.9204979688933355,1.467544328802878,0.20964918982898256,13976.607778219135
12663.991023730745,2532.798204746149,False,0.014,7.0,1.0,0.035,0.3742651561488484,38293229.264710926,7.5831219919081105,0.10217784881793147,0.007490546069417332,13.640907868534022,4.294565476253398,3.495577984636267,4.800773246193379,0.6813111935232957,3.9201337053123115,1.520572403765982,0.217224629109426,14157.626636003726
42454.050130553136,8490.810026110626,False,0.014,7.0,2.0,0.005,0.28615797868220516,32973732.412873667,7.518168109247196,0.10261660936962068,0.007489370742457419,13.701633007414722,4.280181890607196,3.4354715629010983,4.78657817970318,0.6800251566862349,3.922816533433937,1.158825362298346,0.16554648032833513,12653.104822675457
34124.040846919146,6824.808169383829,False,0.014,7.0,2.0,0.01,0.3066082047905722,33903522.922591,7.530244828183853,0.10179425176114323,0.007436009988867233,13.689364580405854,4.282774798015613,3.4463619155217518,4.789437577925684,0.6802845173510323,3.922280023562236,1.2281703924870582,0.1754529132124369,12974.522572132795
28724.42178696549,5744.884357393098,False,0.014,7.0,2.0,0.015,0.32440547446046536,34805358.47658204,7.541646111120791,0.10145911047811801,0.00741770574122746,13.677963782549408,4.285300456097064,3.4569470014185266,4.792098589358959,0.6805257443508137,3.9217798292946227,1.2974188001149074,0.1853455428735582,13269.826867093516
24320.280208087835,4864.056041617567,False,0.014,7.0,2.0,0.02,0.33957918957273636,35701999.03367479,7.5526925338989805,0.10141168030484274,0.007419831483765418,13.667652766337262,4.287711138577743,3.4670264160001563,4.794508425021178,0.6807440861167523,3.9213246086432774,1.3582811072563616,0.19404015817948023,13525.124827122308
20178.840528806093,4035.7681057612185,False,0.014,7.0,2.0,0.025,0.3528967575452642,36579191.840516515,7.5632341061955835,0.10155040013232824,0.007435251853775097,13.657963728662144,4.290075448590844,3.476894298354791,4.796775658162783,0.6809494072921836,3.9208954634905457,1.414637567867178,0.20209108112388258,13758.262253256455
16260.499998365472,3252.0999996730943,False,0.014,7.0,2.0,0.03,0.36439801230487023,37447366.20370266,7.573421277751838,0.10181742645045729,0.00745967731867983,13.649038973240243,4.292364261329111,3.486428056217166,4.79886642248222,0.6811386614168434,3.9204978978869076,1.4674769465433009,0.20963956379190013,13962.989453690303
12678.782120899523,2535.7564241799046,False,0.014,7.0,2.0,0.035,0.3742541351443652,38293962.29322267,7.583130305314863,0.10217575067325155,0.007490393230848787,13.6409060945487,4.294566113259625,3.4955806079633986,4.800773662417004,0.6813112311763168,3.9201336178911843,1.520594790177798,0.21722782716825687,14146.963795474354
42625.78244583972,8525.156489167945,False,0.014,7.0,3.0,0.005,0.28630511194585617,33021336.088632468,7.518794641433779,0.10250333903305454,0.0074813166528035924,13.701243215609894,4.280259632131901,3.435799002591304,4.78666896271081,0.6800333935067575,3.9227992140827537,1.1588365699825167,0.16554808142607383,12563.267209762644
34466.64562450742,6893.329124901485,False,0.014,7.0,3.0,0.01,0.3066418586217995,33933248.07386202,7.530625432089591,0.10170791816470168,0.007429873063339186,13.689051925604685,4.282839079065203,3.4466322639979134,4.789510504084078,0.6802911300663131,3.922266319343075,1.2294802103883695,0.17564003005548137,12894.617385613055
29154.049641048103,5830.809928209621,False,0.014,7.0,3.0,0.015,0.3241702404417578,34833355.060407534,7.541995306615798,0.1013943566443308,0.007413024348549227,13.677866397966747,4.285323303034995,3.457042511709679,4.792121335400085,0.6805278057559617,3.921775086970107,1.2954043882446475,0.18505776974923535,13187.175794208462
24683.744795182698,4936.748959036539,False,0.014,7.0,3.0,0.02,0.3393979336519989,35723069.34621948,7.552948766645917,0.10136143306515,0.0074162117459205,13.66754841120964,4.287734418269832,3.4671239543113943,4.794532829832089,0.6807462967391552,3.92131982632201,1.3561678037216336,0.19373825767451908,13450.515164363307
20459.06585716847,4091.8131714336937,False,0.014,7.0,3.0,0.025,0.3527127842907109,36597031.243682295,7.56344585679386,0.10151122544673472,0.00743243578728342,13.657867804309333,4.29009440510539,3.4769741891084323,4.796798117845293,0.6809514407609215,3.9208910186293715,1.414384909300338,0.20205498704290542,13689.283895204713
16489.27668416786,3297.855336833572,False,0.014,7.0,3.0,0.03,0.3642159595001688,37465470.196995355,7.573631187426021,0.10178525125874059,0.007457337922255948,13.649006162771439,4.292376049017593,3.48647659899195,4.798874113054075,0.6811393574083441,3.920496086765056,1.4674495026993555,0.20963564324276507,13901.560085920337
12842.504708245373,2568.500941649075,False,0.014,7.0,3.0,0.035,0.3740820539199343,38312302.48350806,7.583338252892346,0.10215094517699796,0.007488609605205079,13.640842634658949,4.294573868875006,3.4956143193556373,4.800788551835949,0.6813125781222287,3.9201304640747145,1.5144662101154898,0.21635231573078426,14089.507331473822
41287.24530436554,8257.449060873108,False,0.014,7.0,4.0,0.005,0.29528444279927646,33693002.087365516,7.527539708870425,0.10136519391904536,0.007402495064496024,13.693382168562986,4.281901468588542,3.442698674586909,4.788500729819074,0.6801995579471801,3.922454897845059,1.1873089642190913,0.16961556631701305,12492.26847233459
35217.1579001946,7043.43158003892,False,0.014,7.0,4.0,0.01,0.3136211687625556,34559716.00739817,7.538570165030044,0.1009918073329659,0.007381199458763309,13.68230297760937,4.2843290271810535,3.4528776171637947,4.79108536082057,0.6804339085753435,3.9219691777467496,1.2549421154410667,0.17927744506300952,12811.509398122187
30129.118034916075,6025.823606983215,False,0.014,7.0,4.0,0.015,0.32983540471477535,35418857.94748109,7.549234553604387,0.10093391384609338,0.007382614772842017,13.67183808877485,4.286721109127213,3.4628890030401327,4.793529888581633,0.6806554396254448,3.921508742571739,1.318435499469936,0.18834792849570517,13094.692306137267
25346.614539879076,5069.322907975815,False,0.014,7.0,4.0,0.02,0.3439289688158282,36275711.876325816,7.559615943809334,0.101074939284626,0.007398147405471428,13.662195918112456,4.289039947851813,3.472572889801687,4.795784996938951,0.6808597047153755,3.921082199027322,1.380245595775337,0.19717794225361956,13355.757161073705
