Title:
Authors:
Table:
================================================================================
Byte-by-byte Description of file: table.dat
--------------------------------------------------------------------------------
 Bytes Format Units  Label     Explanations
--------------------------------------------------------------------------------
  1-  9  I9      ---    TIC_ID         ? TESS object identifier
 11- 23  A13     ---    name           ? common name
 25- 42  F18.15 solMass M              [8.03/29.86]? initial mass
 44- 63  F20.18 solMass M_err          [0.05/1.04]? uncertainty on initial mass
 65- 82  F18.16 cm2.s-1 logD           [1.0/6.0]? log10 of mixing strength at
                                     the base of the envelope
 84-101  F18.16 cm2.s-1 logD_err       [0.5/1.51]? uncertainty on log10 of
                                     mixing strength at the base of the envelope
103-123  F21.19  ---    fov            [0.0/0.04]? overshoot parameter
125-145  F21.19  ---    fov_err        [0.0/0.01]? uncertainty on overshoot
                                     parameter
147-165  F19.17  ---    Xc             [0.04/0.43]? central hydrogen mass
                                     fraction
167-187  F21.19  ---    Xc_err         [0.0/0.05]? uncertainty on central
                                     hydrogen mass fraction
189-208  F20.18  d-1    frot           [0.01/0.6]? rotation frequency measured
                                     when fitting all observed signals
210-230  E21.16  d-1    frot_err       [0.0/0.03]? uncertainty on rotation
                                     frequency measured when fitting all
                                     observed signals
232-252  F21.19  ---    frot_rel       [0.0/0.41]? rotation frequency relative
                                     to the critical rotation frequency measured
                                     when fitting all observed signals
254-275  E22.17  ---    frot_rel_err   [0.0/0.01]? uncertainty on rotation
                                     frequency relative to the critical rotation
                                     frequency measured when fitting all
                                     observed signals
277-294  F18.9   yr     age            [3282211.88/32511686.79]? age since ZAMS
296-314  F19.11  yr     age_err        [87853.1/1500041.97]? uncertainty on age
                                     since ZAMS
316-333  F18.16  K      log_Teff       [4.28/4.57]? log10 of effective
                                     temperature
335-355  F21.19  K      log_Teff_err   [0.0/0.02]? uncertainty of log10 of
                                     effective temperature
357-374  F18.16  solLum log_L          [3.66/5.21]? log10 of luminosity
376-395  F20.18  solLum log_L_err      [0.0/0.04]? uncertainty on log10 of
                                     luminosity
397-414  F18.16  cm.s-2 log_g          [3.56/3.95]? log10 of surface gravity
416-436  F21.19  cm.s-2 log_g_err      [0.0/0.06]? uncertainty on log10 of
                                     surface gravity
438-455  F18.16  solRad log_R          [0.69/1.07]? log10 of stellar radius
457-477  F21.19  solRad log_R_err      [0.0/0.03]? uncertainty of log10 of
                                     stellar radius
479-497  F19.16 solMass Mcc            [1.33/12.96]? convective core mass
499-519  F21.19 solMass Mcc_err        [0.0/0.32]? uncertainty on convective
                                     core mass
521-539  F19.17  ---    Mcc_over_M     [0.16/0.44]? convective core mass
                                     relative to total mass
541-561  F21.19  ---    Mcc_over_M_err [0.0/0.02]? uncertainty on convective
                                     core mass relative to total mass
--------------------------------------------------------------------------------
Notes:
--------------------------------------------------------------------------------
 13332837 HD229085      12.589999999999998 0.103869929565434921 4.0000113211084276 0.5000000000000000 0.0349998301833735898 0.0025000000000000001 0.42944751699278899 0.0040277345213858076 0.410576740564477238 7.217673559795559e-03 0.2039236853410336670 5.7301923301391168e-04 10921648.287458638  407214.38884775271 4.4304638484873902 0.0038017337239231682 4.2679521957317084 0.019972787715433968 3.9464630219365620 0.0026955904354108349 0.7957015482716359 0.0024003898596054625  3.8695965868869657 0.1186667759891592566 0.30735477258832133 0.0044814507239819114
 14085632 TIC14085632   18.410000000001251 0.174672301847707767 6.0000000000000000 0.5000000000000000 0.0100209767461815411 0.0025000000000000001 0.29738560682102377 0.0132305579470112476 0.112312380711007451 6.824480773894842e-04 0.0840297983826105571 9.7755782263384889e-05  7735004.716344849  308581.29586649599 4.4766356767645892 0.0041891910281889886 4.7980920003109224 0.019473481620819119 3.7648641213483884 0.0029247851213190408 0.9684278028965705 0.0023868358756762510  6.1586226135982072 0.2907696093712306418 0.33452594316120560 0.0144274311020299688
 15166556 HD146442       8.039999999999999 0.054586939739531604 4.0000000000000000 0.5000000000000000 0.0100000000000000002 0.0025000000000000001 0.20310560563710955 0.0050069425643903317 0.378504975493483942 4.498113910689212e-03 0.2211106627119202861 4.0524501481445407e-04 29556033.363889113  945621.86150096497 4.2951081221127962 0.0057084502929086360 3.7024853022122417 0.027432225590552035 3.7752823827866777 0.0029868912269401891 0.7836794924224678 0.0023195832710655381  1.3376961176398943 0.0457341395526926139 0.16638011413431522 0.0034150589063174238
 34590771 betaCMa       12.031131552461240 0.717817570132769478 3.2067863415129536 1.5051821870098250 0.0146513543302007436 0.0060713654851219526 0.16736526345263678 0.0123615333918083645 0.059780677187795901 1.635915503698437e-03 0.0480644521342554476 2.2249581393467358e-04 15668112.454063943  443011.66054540704 4.3696093119458981 0.0048395278343469359 4.3056239505568197 0.023810559696936195 3.6437645148684332 0.0031201562205937254 0.9362465108836580 0.0022515156936485864  2.5699172597364663 0.1377373576989458503 0.21381263505872411 0.0086040471086683643
 42940133 HD228101      11.749999381766774 0.094297080019596663 4.8357063974166277 0.6427329201560491 0.0210096820582218666 0.0037653446155679858 0.39376066978596869 0.0028232550479800312 0.233987813524112909 2.290434700751921e-03 0.1177359022031412988 2.1075216126636967e-04 12556231.654541500  555583.47241554514 4.4113953433282802 0.0037211301536205802 4.1826099660123708 0.018226072971876121 3.9256037779468151 0.0041908685547460238 0.7911674431586232 0.0016716980290912267  3.2514255349651968 0.0808028414431512937 0.27671708170506015 0.0023563670194988360
 83852015 thetaOphiuchi  8.040042350980290 0.054587365224480836 1.9093728742139568 0.7970309059340166 0.0299969747889080630 0.0025000000000000001 0.39256709334872358 0.0029441896660493804 0.106718886898874724 5.202051150535438e-04 0.0470665320092505460 2.4009455893030121e-05 26486544.650173590 1387247.95372331236 4.3295952291347213 0.0039040016582827628 3.6681471133693266 0.019447774590009573 3.9476746147829291 0.0036984095195645755 0.6975362554122825 0.0019275534833829910  1.8438477551463268 0.0363091231360002237 0.22933312720586094 0.0023211927182869088
128821888 12Lac         11.350000000000000 0.089806522712668174 5.0000000000000000 0.5000000000000000 0.0100000000000000002 0.0025000000000000001 0.16676652129776998 0.0124393635099331826 0.219871574513654605 3.023412188354919e-03 0.1750966580973038755 3.4198969505819357e-04 17002457.353189096  865877.20891319087 4.3606341449442407 0.0022130249004725247 4.2270904816606727 0.012728763984301460 3.6617593903437040 0.0035994039205715493 0.9149300944456019 0.0020554548005353888  2.3063994888721759 0.0439626467024384487 0.20320700342486131 0.0067140391634045102
136778972 TIC136778972   8.372688849456569 0.283733038478899358 1.4321902740683996 0.7172813524161491 0.0243866304105277952 0.0027890160118104255 0.14138316760722375 0.0091386592055687828 0.045635776073365650 2.814083733768299e-04 0.0378868004086184013 4.6348736484830320e-05 32511686.787692312 1500041.96311021317 4.2801701279907007 0.0027580053570712081 3.8571722078532846 0.016312345281065930 3.5777465694062194 0.0020866699327149641 0.8908990086254902 0.0027034888557952563  1.4648257175067056 0.0113138663406994276 0.17504011489179325 0.0037462981411467929
159932751 HD129929       8.908947448444914 0.063464650930370820 4.9964914887159013 0.5000000000000000 0.0050526275786318235 0.0025000000000000001 0.31801803560633524 0.0111106431916847565 0.013175562335097788 1.169092871399463e-04 0.0066257794223616145 1.0244358500340117e-05 22171048.285768539  671155.92545920261 4.3418858137409853 0.0058518304529375075 3.8169333394652667 0.027696256753256460 3.8923499488594366 0.0032020540752982856 0.7473482030476952 0.0021649318899859631  1.8500323083384402 0.0857916634996127303 0.20766067396015586 0.0065342087991531739
189504668 TIC189504668  17.179905749456527 0.159131554096089645 5.0001625009370230 0.5000000000000000 0.0249967499812595376 0.0025000000000000001 0.32010043472673855 0.0021489724891642701 0.553723529582382912 6.944616844625566e-03 0.4000000059604644775 8.9601894745005152e-04  8134484.523187291  311218.99161678745 4.4672638020146627 0.0022594716762436170 4.7063091931162857 0.014772057360923116 3.7895002764238281 0.0016902333328414898 0.9412801533933127 0.0028670849009662944  5.6826732676963276 0.1310694827928491901 0.33077430757508747 0.0019387426399248980
